Judul,Isi,Tanggal,Kategori
Sekretaris KONI Kota Serang Jadi Bacalon Tunggal Ketua Umum,"SERANG– Satu kandidat calon Ketua Umum (Ketum) KONI Kota Serang mengembalikan berkas pendaftaran kepada Tim Penjaringan dan Penyaringan (TPP). Sesuai tahapan yang telah dibentuk, batas pengembalian formulir pendaftaran yakni pada 3-8 Agutus 2023.Bursa pencalonan diikuti oleh dua sosok internal KONI Kota Serang yakni Edi Irianto selaku Sekretaris dan DN Hamzah yang menjabat sebagai Bendahara. Namun, saat hari terakhir batas pengembalian formulir pendaftaran, hanya Edi yang datang menyerahkan berkas.Berkas pendaftaran Bakal Calon (Bacalon) Ketua Umum KONI Kota Serang periode 2023-2027 itu diserahkan Edi bersama rombongannya di Sekretariat TPP pada Senin (7/8/2023) pukul 16.30 WIB.“Kami sudah menunggu hingga batas akhir. Tapi hanya pak Edi yang mengembalikan berkas. Dengan demikian, untuk DN Hamzah gugur dengan sendirinya,” jelas Ketua TPP Calon Ketua Umum KONI Kota Serang periode 2023-2027, Mufti Rahman pada Selasa (8/8/2023).Mufti mengatakan, berkas persyaratan itu nantinya akan diverifikasi terlebihi dahulu. Proses verifikasi berlangsung dari 9-14 Agustus 2023.Setelah berkas diverifikasi, bakal calok dipersilakan untuk memperbaiki atau menyempurnakan berkas sebelum 19 Agustus 2023. Selanjutnya tim penjaringan akan melakukan verifikasi lanjutan untuk menentukan lolos atau tidaknya Edi Irianto sebagai Ketum KONI Kota Serang 2023-2027.“Tahapannya demikian. Berkas pak Edy akan TPP periksa dulu, kebetulan persyaratannya lumayan banyak yah,” ucapnya.Hal senada disampaikan anggota TPP lainnya, Nafis Hani terkait tahapan lanjutan setelah pengembalian berkas. “Usai penutupan pengembalian formulir pendaftaran Calon Ketua Umum kami kembali bekerja untuk verifikasi data. Mekanismenya seperti itu,” jabarnya.Edi Irianto menjadi kandidat dengan dukungan terbanyak. Ia sudah meraup 43 dukungan suara yang berasal dari cabang olahraga (cabor) di Kota Serang.(Nin/Red)","Rabu 9 Agu 2023,    19:02 WIB",Sport
Prediksi Irak vs Timnas Indonesia Kualifikasi Piala Dunia Malam Ini,"SERANG– Pertandingan Grup F Kualifikasi Piala Dunia 2026 zona Asia antara Irak vs Timnas Indonesia akan digelar di Stadion Internasional Basra, Kamis (16/11/2023) malam WIB. Di laga ini, rekor buruk membayangi skuad Garuda.Sebagaimana diketahui, Timnas Indonesia berhasil melaju ke putaran kedua Kualifikasi Piala Dunia 2026 zona Asia setelah menyingkirkan Brunei Darussalam di putaran pertama.Di dua laga yang digelar dengan format home away (kandang tandang) tersebut tim besutan Shin Tae-yong tampil trengginas dengan memetik kemenangan 6-0 baik di laga tandang maupun kandang.Bermodalkan kemenangan agregat 12-0 tersebut, skuad Garuda akan mengawali kiprahnya di Grup F dengan menghadapi Irak. Lawan yang menorehkan catatan buruk bagi Indonesia.Tercatat, Indonesia dan Irak sudah 11 kali berhadapan di berbagai ajang. Dari 11 pertemuan tersebut, Indonesia menelan kekalahan sebanyak enam kali dan tiga kali imbang.Keduanya terakhir kali berhadapan di ajang Kualifikasi Piala Asia 2015 silam pada 19 November 2013, di mana ketika itu skuad Garuda dihabisi dengan dua gol tanpa balas.Bagi pelatih Timnas Indonesia Shin Tae-yong catatan pertemuan tersebut adalah masa lalu. Pelatih asal Korea Selatan itu optimistis timnya bakal meraih hasil positif karena skuad Garuda tak lagi seperti dulu.“Saya tidak tahu tentang statistiknya, setelah selesai, masa lalu adalah masa lalu. Anda tahu, Indonesia memiliki pelatih baru dari beberapa tahun yang lalu?” kata Shin Tae-yong dalam konferensi pers, Rabu (15/11/2023).“Sebagai pelatih baru, Irak sebenarnya menantang,” sambungnya.Senada dengan sang pelatih, bek Indonesia Jordi Amat juga optimistis skuad Garuda bakal tampil bagus di depan 65 ribu penonton di Stadion Internasional Basra.Pemain berdarah Spanyol itu mengakui jika Irak bukan lawan yang mudah, namun ia memastikan para penggawa Merah Putih akan berjuang memenangi laga.“Besok akan menjadi laga keras, kami tahu Irak adalah tim kuat. Tapi besok Indonesia akan memberikan 100 persen dan 11 pemain akan berjuang memenangkan setiap bola,” janji Jordi Amat.“Dalam beberapa hari ini kami melatih pertahanan kami. Kami fokus di defense,” sambung bek sentral berusia 31 tahun itu.“Jadi saya akan memuji mereka, mereka di atas kertas memang kuat. Saya mengharapkan laga yang bagus. Saya harap besok stadion akan penuh, itu bagus untuk negara ini, jadi mari lihat pertandingan bagus besok.”Prediksi Susunan PemainTimnas Irak (4-2-3-1): Jalal Hassan; Ali Adnan, Mustafa Nadhim, Rebin Sulaka, Frans Putros; Amjad Attwan, Bashar Resan; Hussein Ali Al-Saedi, Ibrahim Bayesh, Osama Rashid; Aymen Hussein.Pelatih: Jesus Casas.Timnas Indonesia (3-4-2-1): Nadeo Argawinata; Rizky Ridho, Jordi Amat, Elkan Baggott; Asnawi Mangkualam, Sandy Walsh, Marc Klok, Shayne Pattynama; Saddil Ramdani, Rafael Struick; Ramadhan Sananta.Pelatih: Shin Tae-yong.Head to Head19/11/13 Indonesia 0-2 Irak (Kualifikasi Piala Asia 2015)06/02/13 Irak 1-0 Indonesia (Kualifikasi Piala Asia 2015)02/09/00 Indonesia 3-0 Irak (Piala Kemerdekaan)01/09/00 Indonesia 0-0 Irak (Piala Kemerdekaan)18/11/06 Indonesia 0-4 Irak (Persahabatan)Lima Pertandingan Terakhir Irak17/06/23 Kolombia 1-0 Irak07/09/23 Irak 2-2 India10/09/23 Thailand 2-2 Irak13/10/23 Qatar 0-0 Irak17/10/23 Irak 2-2 IndiaLima Pertandingan Terakhir Indonesia14/06/23 Indonesia 0-0 Palestina19/06/23 Indonesia 0-2 Argentina09/09/23 Indonesia 2-0 Turkmenistan12/10/23 Indonesia 6-0 Brunei Darussalam17/10/23 Brunei Darussalam 0-6 IndonesiaPrediksi Skor Akhir Pertandingan: Irak 2-2 Indonesia.(Red/suara.com)","Kamis 16 Nov 2023,    04:17 WIB",Sport
Dua Pengedar Obat Tanpa Izin Edar Ditangkap Polisi,"PANDEGLANG– Satuan Reserse Narkoba (Satresnarkoba) Polres Pandeglang mengamankan dua pelaku pengedar obat Hexymer berinsial BN (28) warga Kampung Pamatang, Desa Cigandeng, Kecamatan Menes dan YW (43) warga Kampung Kadu Tanggay, Desa Purwaraja, Kecamatan Menes, Kabupaten Pandeglang pada Jumat (15/9/2023) kemarin.Kasat Narkoba Polres Pandeglang, AKP Ilman Robiana mengatakan, penangkapan kedua pengedar obat tanpa izin ini hasil pengembangan dari informasi yang masuk ke pihaknya.Awalnya, polisi menangkap BN di pinggir jalan tepatnya di depan sekolah TK AN-NAFI’ 01, yang beralamat di Jalan Alun-alun Selatan, Desa Purwaraja, Kecamatan Menes dengan barang bukti obat Hexymer.Setelah dilakukan pengembangan, polisi kembali menangkap rekan pelaku berinisial YW yang sedang nongkrong di salah satu toko yang berada di Kampung Cimedang, Desa Menes.“Dari kedua pelaku kami mengamankan barang bukti 2205 butir obat tanpa izin edar, uang diduga hasil penjualan obat sebesar Rp130 ribu dan dua unit handphone milik para pelaku,” kata Ilman, Sabtu (16/9/2023).Saat diinterogasi kedua mengakui bahwa obat tersebut miliknya yang ia beli dari seseorang yang kini masih dilakukan pengembangan. Saat ini keduanya sudah ditahan di Mapolres Pandeglang guna pemeriksaan lebih lanjut.“Keduanya dijerat dengan Pasal 435 juncto Pasal 436 undang-undang RI nomor 17 tahun 2023 tentang kesehatan sebagaimana telah diubah dengan Undang-undang RI nomor 6 tahun 2023, Penetapan Peraturan Pemerintah Pengganti Undang-undang nomor 2 tahun 2022 tentang Cipta Kerja Juncto Pasal 55 Ayat (1) KUHP,” tutupnya. (Med/Red)","Sabtu 16 Sep 2023,    11:46 WIB",hukum
FIFA Cabut Status Indonesia Sebagai Tuan Rumah Piala Dunia U-20,"JAKARTA– Indonesia batal menggelar Piala Dunia U-20 2023. Kepastian tersebut diketahui setelah FIFA, lewat laman resminya, Rabu (29/3/2023), mencabut status Indonesia sebagai tuan rumah.“Menyusul pertemuan hari ini antara Presiden FIFA Gianni Infantino dan Presiden Persatuan Sepak Bola Seluruh Indonesia (PSSI) Erick Thohir, FIFA telah memutuskan, karena keadaan saat ini, untuk menghapus Indonesia sebagai tuan rumah FIFA U-20 World Cup 2023™. Tuan rumah baru akan diumumkan sesegera mungkin, dengan tanggal turnamen saat ini tetap tidak berubah. Potensi sanksi terhadap PSSI juga dapat diputuskan pada tahap selanjutnya,” bunyi pernyataan FIFA yang disiarkan di laman resminya.“FIFA ingin menggarisbawahi bahwa terlepas dari keputusan tersebut, tetap berkomitmen untuk aktif membantu PSSI, bekerja sama erat dan dengan dukungan pemerintahan Presiden Widodo, dalam proses transformasi sepakbola Indonesia pascatragedi (Kanjuruhan-red) yang terjadi pada Oktober 2022. Anggota tim FIFA akan terus hadir di Indonesia dalam beberapa bulan mendatang dan akan memberikan bantuan yang dibutuhkan kepada PSSI, di bawah kepemimpinan Presiden Thohir.”“Pertemuan baru antara Presiden FIFA dan Presiden PSSI untuk pembahasan lebih lanjut akan dijadwalkan dalam waktu dekat.”Sementara itu, Ketua umum PSSI Erick Thohir mengatakan jika ia sudah berjuang semaksimal mungkin saat bertemu dengan Presiden FIFA Gianni Infantino untuk mempertahankan posisi Indonesia sebagai tuan rumah Piala Dunia U-20 2023 di Doha, Qatar, Rabu (29/3/2023). Ia mengatakan tak bisa berbuat banyak karena FIFA sudah mengambil keputusan.Erick menjelaskan Indonesia sejatinya harus tunduk pada kewenangan dan keputusan yang diberikan FIFA. Sebab, dalam hal ini Indonesia sebagai anggota FIFA.Erick mengaku sudah berusaha maksimal. Ia juga sudah menyampaikan pesan Presiden Joko Widodo hingga pecinta sepak bola Tanah Air kepada Gianni. Namun, FIFA tetap pada pendiriannya.“Saya sudah berjuang maksimal. Setelah menyampaikan surat dari Presiden Jokowi, dan berbicara panjang dengan Presiden FIFA, Gianni Infantino, kita harus menerima keputusan FIFA yang membatalkan penyelenggaraan event yang kita sama-sama nantikan itu,” ujar Erick Thohir dalam keterangan resminya, Rabu (29/3/2023).“Indonesia adalah salah satu anggota FIFA, sehingga untuk urusan sepakbola internasional, kita harus mengikuti aturan yang sudah ditetapkan.”“Meskipun saya tadi sudah menyampaikan segala hal kepada Gianni, apa yang dititipkan Presiden, pecinta sepakbola, anak-anak timnas U-20, dan juga suporter setia sepakbola,” jelasnya. (Red)","Kamis 30 Mar 2023,    00:12 WIB",Sport
Tiga Pengurus Panahan Banten Dilirik Pusat,"SERANG– Ketua Umum Pengurus Provinsi Persatuan Panahan Indonesia (Pengprov Perpani) Banten Rita Prameswari bersama dua pengurus lainnya masuk ke jajaran Pengurus Besar (PB) Perpani periode 2022-2026. Sinergitas pun dipastikan akan menjadi lebih baik.Dari data yang diperoleh, selain Rita, dua pengurus Perpani Banten yang dilirik adalah Ketua Bidang Pembinaan Prestasi (Binpres) Deny Deco dan Bidang Perwasitan, Arie Fahmi.Dalam organisasi yang dipimpin oleh Arsjad Rasjid, Rita dipercaya menjabat Wakil Kepala Bidang Hubungan Daerah. Sedangkan Deny menjadi Ketua Bidang Pelatihan dan Fahmi di anggota Bidang Perwasitan PB Perpani.“Alhamdulillah, kami bersyukur dilirik pusat. Tandanya, panahan Banten berprestasi. Kalau tidak, mana mungkin pak Arsjad mau memasukkan kami dijajaran kepengurusannya,” ujar Rita pada Minggu (12/2/2023).Wanita yang juga menjabat sebagai Kepala Samsat Cikande tersebut menjelaskan dengan hadirnya pengurus Pengprov Perpani di kepengurusan pusat memiliki banyak keuntungan, di antaranya sinergitas antara daerah dan pusat dipastikan jadi lebih baik. Kemudian tidak akan ketinggalan informasi terupdate yang ada di pusat.“Semoga panahan Banten membumi dan lebih berprestasi lagi karena adanya kesinergitasan antara pusat dan daerah,” katanya.Sementara itu, Arsjad mengatakan, pengurus PB Perpani telah resmi dilantik di Lapangan Panahan Gelora Bung Karno (GBK), Senayan, Jakarta Pusat pada 8 Februari lalu. Para pengurus terpilih juga memiliki PR besar untuk perhelatan ajang Olimpiade 2024 yang akan digelar di Paris.“Mereka yang terpilih harus bekerja keras karena PB Perpani memiliki target mengumandangkan lagu Indonesia Raya di lapangan panahan saat Olimpiade 2024 di Paris digelar,” kata Arsjad. (Red)","Minggu 12 Feb 2023,    12:08 WIB",Sport
Satlantas Polres Pandeglang Ubah Lintasan Uji Praktik SIM C,"PANDEGLANG– Menindaklanjuti Surat Keputusan Korps Lalulintas Polri nomor 105/8/2023 tentang pelaksanaan uji praktik Surat Izin Mengemudi (SIM) C, Satuan Lalulintas (Satlantas) Polres Pandeglang hari ini memberlakukan sirkuit praktek uji SIM yang baru, Senin (7/8/2023).Seperti yang diketahui, awalnya sirkuit praktik uji SIM C memiliki lintasan zig zag dan lintasan berbentuk angka 8, namun setelah ada keputusan dari Korlantas RI lintasan tersebut kini memiliki perubahan. Dimana lintasan zig zag dan lintasan berbentuk angka 8 diganti dengan lintasan berbentuk huruf S.Tujuannya, hal tersebut dilakukan agar para pemohon SIM C bisa melakukan uji praktik di lintasan menjadi lebih mudah, tidak seperti lintasan sebelumnya yang membuat banyak pemohon kesulitan saat melakukannya.“Uji praktek SIM C yang tadinya ada lintasan berbentuk angka 8 diubah menjadi lintasan seperti huruf S, terus lintasan uji praktek yang tadinya lebar 1,5 meter ditambah menjadi 2,5 meter garis luarnya, berarti untuk garis lintasannya 2 meter. Mulai berlaku serentak hari ini,” kata Robby.Robby mengakui jika aturan tersebut baru diberlakukan hari ini lantaran keputusan dari Korlantas baru keluar Minggu kemarin sehingga baru bisa ditindaklanjuti.“Untuk jumlah pemohon sama saja paling untuk ujian prakteknya saja yang menjadi lebih mudah ,” tutupnya. (Med/Red)","Selasa 8 Agu 2023,    02:07 WIB",hukum
Lewat SSPB Kota Tangerang Para Atlet Tinju Raih Karir Impian,"TANGERANG– Sasana Tinju Sasana Singa Pinang Beres (SSPB) Kota Tangerang kembali menggairahkan dunia olahraga di Kota Tangerang, khususnya tinju. Saat ini, SSPB Kota Tangerang mulai membuka pendaftaran untuk anak-anak muda menempa diri sekaligus membuka kesempatan karir menjadi atlit tinju profesional.Ketua SSPB Kota Tangerang, Mumu Rohimu menuturkan, sasana tinju yang kini dipimpinnya tersebut membuka kesempatan berlatih secara terbuka yang berlokasi di Gelanggang Olah Raga (GOR) Kelurahan Sudimara, Kecamatan Pinang, Kota Tangerang. Lanjutnya, pelatihan yang akan digelar secara rutin oleh SSPB Kota Tangerang tersebut, dibuka secara umum untuk pemuda dan remaja Kota Tangerang, khususnya yang terdapat di sekitar kawasan Kecamatan Pinang.“Semenjak pandemi Covid-19 lalu membuat minat pemuda untuk menggeluti dunia olahraga sedikit menurun, terlebih di cabang olahraga tinju. Semoga dengan adanya kesempatan ini akan kembali membangkitkan dunia olahraga di Kota Tangerang, khususnya di Kecamatan Pinang,” ujar Ketua SSPB Kota Tangerang, Mumu Rohimu, yang sekaligus meranngkap sebagai Ketua Palang Merah Indonesia (PMI) di Kecamatan Pinang, Kota Tangerang, tersebut dalam keterangannya.Ia melanjutkan, kegiatan pelatihan rutin yang digelar SSPB Kota Tangerang dinilai dapat memantik kebangkitan gairah dunia olahraga tinju di Kota Tangerang agar mampu memproduksi potensi-potensi berkualitas dan berprestasi.Selain itu, kegiatan ini juga dinilai dapat menjadi kesempatan serta ruang untuk menuangkan potensi dan gairah jiwa secara lebih positif, sehingga mampu menekan bahkan menghapus angka kenakalan remaja di Kota Tangerang.“Lewat kegiatan-kegiatan pelatihan yang akan dilakukan SSPB Kota Tangerang, anak-anak muda yang terlibat di dalamnya mempunyai kesempatan lebih untuk menitih karir menjadi atlit tinju yang profesional, serta membuka kesempatan untuk berprestasi di masa depan,” tambahnya.Saat ini, SSPB Kota Tangerang telah terdaftar menjadi bagian resmi dari Persatuan Tinju Amatir Indonesia (Pertina) Kota Tangerang. Sehingga, kedepannya akan mempunyai kesempatan lebih untuk turut aktif dalam kompetisi-kompetisi secara resmi.(Ril/Red)","Selasa 4 Jul 2023,    08:11 WIB",Sport
Projo Condong Dukung Gibran Jadi Cawapres Prabowo,"SERANG–  Ketua Bapilpres Relawan Projo, Panel Barus menyatakan arah dukungan mereka di Pilpres 2024. Dia menyebut 13 DPD Projo memilih Prabowo sebagai capres dan tujuh provinsi mendukung putra Presiden Jokowi, Gibran Rakabuming Raka maju sebagai cawapres.Pada kesempatan itu, dia mengatakan bahwa secara mekanisme internal dari beberapa konferensi daerah (Konferda) sebagian besar mendorong Gibran sebagai calon wakil presiden atau cawapres.“Kalau kita ngomongnya mekanisme internal aja dari beberapa konferda di beberapa provinsi memang hasilnya mendorong Gibran jadi (calon) wapres,” ungkap Panel Barus dikutip melalui kanal Youtube Total Politik, Jumat (29/9/2023).Panel menuturkan bahwa dari 13 provinsi tersebut, tujuh di antaranya mendorong Gibran. Sisanya menyebut beberapa nama seperti Mahfud MD, Airlangga Hartanto, dan Ganjar Pranowo.“Dari 13 itu 7 itu mendorong, 6 lagi warna-warni, ada yang Mahfud, wakilnya ya, ada yang Pak Airlangga, ada yang Pak Ganjar Pranowo, tapi 7 bulat ke Gibran,” kata Dia melansir suara.com (jaringan BantenNews.co.id).Dia menambahkan, dari 13 provinsi itu mendukung Prabowo sebagai calon presiden. Dia menyebut, hal itu merupakan usulan daerah untuk dibawa ke rakernas.Sementara itu, nama Menteri BUMN Erick Thohir juga masuk dalam salah satu usulan nama bakal calon wakil presiden oleh Projo.“Erick Thohir ada usulan, masa nggak ada Pak Erick, ada” pungkasnya.(Ril/Red)","Minggu 1 Okt 2023,    06:13 WIB",Politik
"PMII Desak Bawaslu Pandeglang Beri Sanksi Tegas Kepala DPKPP, Camat dan...","PANDEGLANG– Ketua Majlis Pembina Komisariat Pergerakan Mahasiswa Islam Indonesia (PMII) Syekh Manshur Pandeglang, Aditia Ihksan Nurrohman mendesak Badan Pengawas Pemilu (Bawaslu) Pandeglang untuk segera memberikan sanksi tegas pada Kepala Dinas Perumahan, Kawasan Pemukiman dan Pertanahan (DPKPP), Camat Carita dan Kepala Desa (Kades) yang diduga tidak netral.Menurutnya, langkah yang diambil Bawaslu dengan melakukan pemanggilan kepada beberapa orang saksi dan terduga sudah sangat tepat, namun dirinya meminta agar Bawaslu netral dan transparan dalam prosesnya.Selain itu, dirinya juga meminta agar Bawaslu segera mengeluarkan sanksi pada yang bersangkutan karena sudah jelas tidak netral dengan mengkampanyekan calon yang akan ikut pada Pemilu ini.“Segera membuat dan menjatuhkan sanksi kepada Kepala DPKPP dan Camat Carita atas dugaan pelanggaran kode etik ASN terkait aktifitas dugaan ikut terlibat mengkampanyekan Caleg DPR RI dan Caleg DPRD Pandeglang. Selain dua ASN ini, saya juga meminta Bawaslu memberikan sanksi yang berat pada oknum Kades di Angsana karena sudah jelas menyalahgunakan kekuasaanmya sebagai Kades dengan mengancam warga akan dikeluarkan dari penerima Bansos,” tegas Adit, Selasa (28/11/2023).Adit mengaku sangat prihatin dengan kondisi ASN dan Kades di Pandeglang yang lebih mementingkan kepentingan para penguasa dibandingkan dengan kepentingan rakyat. Mereka lebih memilih mengkebiri hak warga untuk menentukan pilihan demi kepentingan para penguasa.“Untuk itu kami mengutuk keras tindakan yang di lakukan oleh Kepala DPKPP, Camat Carita dan Kades di Angsana, mereka lebih mementingkan berkampanye dibandingkan tugas untuk kepentingan rakyat. Mereka ini digaji dari uang rakyat jadi seharusnya mengabdi kepada rakyat bukan pada penguasa,” geramnya.Ia juga meminta Bawaslu sesegera mungkin mengeluarkan kesimpulan sanski yang akan diberikan sehingga tidak terkesan mengulur-ulur waktu. Sebab, bukti rekaman video Camat Carita dan Kepala DPKPP saat melakukan kampanye sudah dikantongi oleh Panwascam.“Bawaslu harus netral dan jangan sampai mau diintervensi oleh oknum tertentu demi kepentingan pribadi mereka. Untuk itu kami akan mendorong dan mengawal terus Pemilu dan legislatif supaya ASN tidak terlibat dalam politik praktis apalagi menggunakan instrumen wewenang dan jabatannya,” tandasnya.(Med/Red)","Selasa 28 Nov 2023,    21:08 WIB",Politik
FIFA Kasih Target Jumlah Penonton Piala Dunia U-17,"JAKARTA– Ketua Umum PSSI Erick Thohir melaporkan persiapan penyelenggaraan Piala Dunia U-17 kepada Presiden di Istana Kepresidenan Jakarta, Rabu (20/9/2023). Ada beberapa hal yang disampaikan kepada Presiden dalam pertemuan, antara lain harapan agar Presiden bisa hadir pada saat pembukaan 10 November 2023, di mana akan dihadiri juga oleh Presiden FIFA.Erick juga menyampaikan kepada Presiden tentang alasan FIFA memilih empat kota yang menjadi penyelenggaraan Piala Dunia yakni Jakarta, Solo, Bandung dan Surabaya. Menurutnya hal tersebut sesuai dengan kesepakatan karena FIFA ingin ada hal-hal yang lebih terjaga.“Dan Presiden FIFA kalau tidak ada jadwal tentu yang mendadak, tanggal 9 (November) sudah ada di Jakarta untuk juga mengunjungi fasilitas training center yang dibantu FIFA, kurang lebih pendanaan Rp10 miliar yang besok tanggal 22 (September) akan ada peletakan batu pertama,” ujar Erick yang juga menjabat Menteri BUMN itu.“Tentu ada target-target yang diminta FIFA, terutama dari target penonton dan lain lain,” jelasnya.Adapun pada kesempatan itu, kata Erick, Presiden mengarahkan kembali pembangunan dari sepak bola harus terus dilanjutkan.Presiden melihat beberapa kali tim nasional sudah mulai bisa konsisten dan ingin ada keberlanjutan konsistensi tersebut.“Presiden juga menyampaikan pembenahan sepak bola menyeluruh. Memang waktu itu saya pernah bersama Kapolri melakukan kerja sama satgas untuk bagaimana bisa melihat sepak bola kita jangan ada hasil negatif, artinya ada pemainan di lapangan,” jelasnya.Oleh karena itu, Erick mengaku telah meminta izin Presiden untuk melibatkan tokoh publik dalam satgas mafia bola.“Tentu tadi saya izin Presiden, ini memang dorongan beliau, karena beliau yang membuka tadi apakah ini perlu percepatan dengan mengambil tokoh-tokoh publik.Presiden mengarahkan, dan mengharapkan satgas mafia bola ini ada keterwakilan dari pubik sehingga sangat transparan,”jelasnya. (Red)","Rabu 20 Sep 2023,    13:13 WIB",Sport
